x,Sample1,Sample2,Sample3,Sample4
461.65,0,0,0,2.58E-08
461.725,0,0,5.84E-08,2.73E-07
461.8,0,0,6.23E-07,1.04E-06
461.875,1.25E-06,0,9.55E-07,1.18E-06
461.95,9.27E-07,0,6.39E-08,7.36E-07
462.025,0,0,0,8.21E-07
462.1,8.45E-07,0,0,1.23E-06
462.175,3.68E-06,0,0,8.83E-07
462.25,2.42E-06,0,0,5.59E-07
462.325,2.95E-06,0,0,9.67E-07
462.4,5.49E-06,0,0,6.96E-07
462.475,4.36E-06,0,0,5.99E-07
462.55,1.00E-06,0,0,7.63E-07
462.625,2.37E-06,0,0,1.22E-06
462.7,6.70E-06,0,4.83E-08,1.82E-06
462.775,4.74E-06,5.80E-07,1.40E-06,1.55E-06
462.85,1.73E-06,3.15E-06,1.60E-06,1.68E-06
462.925,4.52E-07,4.27E-06,1.33E-06,1.40E-06
463,0,0,6.40E-07,1.42E-06
463.075,0,1.59E-06,2.07E-07,1.62E-06
463.15,0,4.37E-06,1.93E-07,1.40E-06
463.225,0,2.03E-06,6.80E-07,1.32E-06
463.3,0,0,5.15E-07,9.34E-07
463.375,0,0,6.29E-07,5.94E-07
463.45,2.55E-07,0,1.12E-06,1.20E-06
463.525,2.28E-06,9.73E-08,1.18E-06,1.76E-06
463.6,4.51E-06,1.57E-06,7.02E-07,2.48E-06
463.675,4.98E-07,5.95E-06,8.50E-07,2.33E-06
463.75,0,1.64E-06,0,2.71E-06
463.825,0,1.07E-07,1.14E-07,1.48E-06
463.9,0,0,5.95E-07,4.42E-07
463.975,0,0,5.97E-07,3.27E-07
464.05,0,0,2.43E-08,9.08E-08
464.125,1.99E-06,0,3.50E-07,2.25E-07
464.2,4.86E-06,0,9.22E-07,1.05E-06
464.275,5.48E-06,0,9.34E-07,1.54E-06
464.35,1.41E-06,0,4.68E-07,2.80E-06
464.425,0,0,7.69E-07,3.70E-06
464.5,0,3.45E-07,1.08E-06,2.60E-06
464.575,1.51E-07,2.93E-06,7.47E-07,2.11E-06
464.65,2.14E-06,4.97E-06,4.26E-07,2.48E-06
464.725,4.27E-06,5.52E-07,7.17E-07,3.17E-06
464.8,2.70E-06,0,2.23E-07,2.24E-06
464.875,8.71E-06,0,1.02E-07,1.82E-06
464.95,4.84E-06,0,7.63E-07,1.85E-06
465.025,5.01E-06,0,1.15E-06,2.26E-06
465.1,9.11E-06,0,1.16E-06,2.16E-06
465.175,3.40E-06,0,1.17E-06,2.67E-06
465.25,8.13E-07,0,1.02E-06,2.76E-06
465.325,2.65E-06,0,2.51E-07,2.18E-06
465.4,8.04E-06,0,9.02E-07,2.44E-06
465.475,4.05E-06,0,4.89E-07,2.32E-06
465.55,3.71E-06,0,6.25E-07,1.58E-06
465.625,2.57E-06,0,5.58E-07,1.05E-06
465.7,1.82E-07,0,0,4.46E-07
465.775,0,7.07E-08,0,1.52E-06
465.85,0,1.34E-06,2.54E-07,3.23E-06
465.925,1.07E-06,6.02E-06,8.86E-07,1.88E-06
466,3.99E-06,3.40E-06,1.07E-06,1.08E-06
466.075,1.81E-06,4.58E-06,4.05E-07,1.54E-06
466.15,0,3.52E-06,9.29E-08,1.30E-06
466.225,0,3.52E-06,1.20E-06,6.81E-07
466.3,2.30E-06,7.17E-06,1.37E-06,4.37E-07
466.375,5.21E-06,4.41E-06,2.33E-07,4.65E-07
466.45,4.94E-06,1.44E-06,2.28E-07,1.25E-06
466.525,3.39E-06,0,8.30E-07,7.14E-07
466.6,7.11E-06,0,1.23E-06,8.06E-07
466.675,4.53E-06,0,1.04E-06,1.64E-06
466.75,2.43E-08,0,6.13E-07,9.84E-07
466.825,4.99E-06,0,2.66E-10,2.77E-07
466.9,6.92E-06,0,6.17E-07,7.46E-07
466.975,3.25E-06,0,1.50E-06,1.72E-06
467.05,3.97E-06,0,4.59E-07,1.29E-06
467.125,1.48E-06,0,8.42E-08,1.41E-06
467.2,0,0,7.25E-07,1.89E-06
467.275,0,0,6.08E-07,1.94E-06
467.35,0,0,5.61E-07,1.26E-06
467.425,0,0,7.93E-07,1.20E-06
467.5,0,0,3.61E-07,7.74E-07
467.575,0,0,7.55E-07,1.07E-06
467.65,1.43E-06,0,2.71E-07,6.34E-07
467.725,8.11E-06,0,7.46E-08,1.34E-07
467.8,5.26E-06,0,8.75E-07,8.86E-07
467.875,3.12E-06,0,2.18E-06,1.64E-06
467.95,3.53E-06,0,2.64E-06,1.08E-06
468.025,3.79E-08,0,1.16E-06,1.53E-06
468.1,0,0,9.78E-07,1.72E-06
468.175,0,0,5.27E-07,9.77E-07
468.25,0,0,1.44E-06,1.27E-06
468.325,0,0,9.16E-07,2.49E-06
468.4,0,0,1.09E-07,1.98E-06
468.475,2.62E-06,0,4.74E-07,1.38E-06
468.55,3.41E-06,0,1.51E-06,2.32E-06
468.625,2.26E-06,1.69E-08,2.12E-06,2.01E-06
468.7,4.17E-06,1.72E-06,1.86E-06,8.79E-07
468.775,1.27E-06,9.00E-06,7.35E-07,1.78E-06
468.85,7.33E-07,1.70E-05,7.94E-07,1.24E-06
468.925,3.54E-06,1.35E-05,1.86E-06,1.52E-06
